listing_id,review_count_from_text,sentiment_polarity_mean,sentiment_polarity_std,sentiment_polarity_min,sentiment_subjectivity_mean,review_length_mean,review_length_std,theme_cleanliness_mean,theme_cleanliness_positive_mean,theme_cleanliness_negative_mean,theme_communication_mean,theme_communication_positive_mean,theme_communication_negative_mean,theme_checkin_mean,theme_checkin_positive_mean,theme_checkin_negative_mean,theme_location_mean,theme_location_positive_mean,theme_location_negative_mean,theme_amenities_mean,theme_amenities_positive_mean,theme_amenities_negative_mean,theme_accuracy_mean,theme_accuracy_positive_mean,theme_accuracy_negative_mean,theme_noise_mean,theme_noise_positive_mean,theme_noise_negative_mean,theme_comfort_mean,theme_comfort_positive_mean,theme_comfort_negative_mean,theme_value_mean,theme_value_positive_mean,theme_value_negative_mean
2049955,277,0.43120367000690846,0.18372333513464548,-0.125,0.626536008154644,372.72202166064983,364.2461820578551,0.33212996389891697,0.33212996389891697,0.0,0.17689530685920576,0.17689530685920576,0.0,0.11913357400722022,0.11913357400722022,0.0,0.6895306859205776,0.6859205776173285,0.0,0.259927797833935,0.2527075812274368,0.0036101083032490976,0.1444043321299639,0.1444043321299639,0.0,0.1552346570397112,0.1552346570397112,0.0,0.516245487364621,0.5126353790613718,0.0036101083032490976,0.06498194945848375,0.061371841155234655,0.0
2058119,82,0.4336539753241554,0.1612741338262315,0.0,0.6275430526954618,360.8170731707317,255.10192240753358,0.5365853658536586,0.5365853658536586,0.0,0.07317073170731707,0.07317073170731707,0.0,0.17073170731707318,0.17073170731707318,0.0,0.6829268292682927,0.6829268292682927,0.0,0.12195121951219512,0.12195121951219512,0.0,0.0975609756097561,0.0975609756097561,0.0,0.08536585365853659,0.08536585365853659,0.0,0.5975609756097561,0.5975609756097561,0.0,0.06097560975609756,0.06097560975609756,0.0
2062696,186,0.4294616535579894,0.21177148154788192,-0.03472222222222225,0.61559646652412,252.05913978494624,237.44095538552554,0.21505376344086022,0.21505376344086022,0.0,0.13440860215053763,0.13440860215053763,0.0,0.12365591397849462,0.11827956989247312,0.0,0.5161290322580645,0.4946236559139785,0.0,0.11290322580645161,0.11290322580645161,0.0,0.06451612903225806,0.05913978494623656,0.0,0.07526881720430108,0.06989247311827956,0.0,0.3602150537634409,0.3548387096774194,0.0,0.06451612903225806,0.06451612903225806,0.0
2074737,13,0.4033250938875939,0.16811970776071924,0.05714285714285715,0.5999810606060606,327.6923076923077,161.1952153008812,0.46153846153846156,0.46153846153846156,0.0,0.38461538461538464,0.38461538461538464,0.0,0.3076923076923077,0.23076923076923078,0.0,0.6153846153846154,0.6153846153846154,0.0,0.38461538461538464,0.38461538461538464,0.0,0.07692307692307693,0.07692307692307693,0.0,0.23076923076923078,0.23076923076923078,0.0,0.6153846153846154,0.6153846153846154,0.0,0.15384615384615385,0.15384615384615385,0.0
2105111,10,0.47850149521531105,0.23340961835466864,0.13125,0.6857188900281006,234.4,193.5310483273076,0.2,0.2,0.0,0.2,0.2,0.0,0.1,0.1,0.0,0.5,0.5,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.4,0.4,0.0,0.3,0.3,0.0,0.0,0.0,0.0
2111361,107,0.4245946841276149,0.19584889393849111,-0.19687499999999997,0.6089308116856379,288.38317757009344,212.91342225118984,0.4766355140186916,0.4672897196261682,0.0,0.21495327102803738,0.205607476635514,0.0,0.17757009345794392,0.17757009345794392,0.0,0.5327102803738317,0.5327102803738317,0.0,0.45794392523364486,0.45794392523364486,0.0,0.24299065420560748,0.24299065420560748,0.0,0.102803738317757,0.102803738317757,0.0,0.2803738317757009,0.2803738317757009,0.0,0.018691588785046728,0.018691588785046728,0.0
2115503,522,0.43425885722065577,0.20138102803228458,-0.25,0.6510181377432709,249.5823754789272,213.8618087449084,0.3448275862068966,0.34099616858237547,0.0,0.12260536398467432,0.1206896551724138,0.0,0.15517241379310345,0.1475095785440613,0.0,0.7049808429118773,0.6915708812260536,0.0019157088122605363,0.24904214559386972,0.23946360153256704,0.0,0.1206896551724138,0.11685823754789272,0.0,0.22413793103448276,0.21839080459770116,0.0,0.4272030651340996,0.41379310344827586,0.0,0.04980842911877394,0.04980842911877394,0.0
2123469,243,0.4456046178948214,0.21359943492754924,0.0,0.6293203032949044,252.25925925925927,207.9672243195657,0.1646090534979424,0.16049382716049382,0.0,0.1111111111111111,0.10699588477366255,0.0,0.13168724279835392,0.12757201646090535,0.0,0.588477366255144,0.5637860082304527,0.0,0.16049382716049382,0.15637860082304528,0.0,0.08641975308641975,0.0823045267489712,0.0,0.13580246913580246,0.13580246913580246,0.0,0.4279835390946502,0.4156378600823045,0.0,0.04938271604938271,0.04938271604938271,0.0
2124182,132,0.3893754636000528,0.1617451425655276,0.0,0.6129762658617626,317.1969696969697,231.28005690844077,0.3712121212121212,0.3712121212121212,0.0,0.25,0.25,0.0,0.17424242424242425,0.17424242424242425,0.0,0.6666666666666666,0.6515151515151515,0.0,0.3560606060606061,0.3409090909090909,0.0,0.10606060606060606,0.10606060606060606,0.0,0.29545454545454547,0.2878787878787879,0.0,0.5151515151515151,0.5075757575757576,0.0,0.08333333333333333,0.08333333333333333,0.0
2130640,41,0.4458692602517157,0.18551719864156155,0.07621212121212119,0.6248088723439547,343.4878048780488,265.8907785117058,0.36585365853658536,0.36585365853658536,0.0,0.4146341463414634,0.3902439024390244,0.0,0.1951219512195122,0.17073170731707318,0.0,0.8780487804878049,0.8536585365853658,0.0,0.36585365853658536,0.36585365853658536,0.0,0.07317073170731707,0.07317073170731707,0.0,0.21951219512195122,0.1951219512195122,0.0,0.4146341463414634,0.3902439024390244,0.0,0.12195121951219512,0.12195121951219512,0.0
2134475,539,0.4332818650654219,0.20622310554094989,-0.3666666666666666,0.5859131827445552,383.9591836734694,295.3722530090793,0.12059369202226346,0.12059369202226346,0.0,0.022263450834879406,0.022263450834879406,0.0,0.08348794063079777,0.08348794063079777,0.0,0.6382189239332097,0.62708719851577,0.0,0.3116883116883117,0.3098330241187384,0.0,0.07235621521335807,0.07050092764378478,0.0,0.061224489795918366,0.059369202226345084,0.0,0.4100185528756957,0.4044526901669759,0.0,0.0575139146567718,0.0575139146567718,0.0
